24.5
20
1	0.83	2.36
2	0.71	0.3
3	0.13	7.44
4	0.83	1.26
5	0.58	8.33
6	0.06	9.51
7	0.47	6.44
8	0.73	9.17
9	0.04	4.93
10	0.41	1.92
11	0.08	4.23
12	0.13	5.97
13	0.01	9.98
14	0.24	3.51
15	0.87	4.91
16	0.24	5.67
17	0.94	9.83
18	0.65	6.58
19	0.13	7.56
20	0.38	9.22
40
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0
22	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
23	1	1	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0
24	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
25	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1
26	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
27	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
28	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	1	1	1	0	0
29	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0
30	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1
31	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	1	0	1
32	0	0	1	0	0	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1
33	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
34	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	1	1
35	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
36	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0
37	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0
38	0	0	1	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0
39	1	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1
40	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1
