42.1
10
1	0.42	1.82
2	0.82	1.54
3	0.35	5.73
4	0.51	6.29
5	0.78	3.69
6	0.03	6.2
7	0.51	1.25
8	0.89	5.99
9	0.89	6.41
10	0.08	5.27
20
1	1	0	0	0	0	0	0	0	0	0
2	0	1	0	0	0	0	0	0	0	0
3	0	0	1	0	0	0	0	0	0	0
4	0	0	0	1	0	0	0	0	0	0
5	0	0	0	0	1	0	0	0	0	0
6	0	0	0	0	0	1	0	0	0	0
7	0	0	0	0	0	0	1	0	0	0
8	0	0	0	0	0	0	0	1	0	0
9	0	0	0	0	0	0	0	0	1	0
10	0	0	0	0	0	0	0	0	0	1
11	1	1	0	0	0	0	0	1	0	1
12	1	1	1	1	1	1	1	1	1	1
13	0	0	0	1	1	0	0	0	0	1
14	1	1	1	1	1	1	1	1	0	1
15	0	1	0	1	1	1	1	1	1	1
16	1	0	0	0	0	0	0	0	0	1
17	0	1	1	1	1	1	1	1	1	1
18	1	0	0	1	1	1	0	1	1	0
19	0	0	1	1	1	0	1	0	1	0
20	0	1	1	1	0	1	0	0	0	1
