19.7
10
1	0.79	2.02
2	0.59	7.68
3	0.11	4.5
4	0.29	7.14
5	0.72	2.36
6	0.71	0.85
7	0.74	8.23
8	0.16	5.92
9	0.22	7.67
10	0.05	8.29
20
1	1	0	0	0	0	0	0	0	0	0
2	0	1	0	0	0	0	0	0	0	0
3	0	0	1	0	0	0	0	0	0	0
4	0	0	0	1	0	0	0	0	0	0
5	0	0	0	0	1	0	0	0	0	0
6	0	0	0	0	0	1	0	0	0	0
7	0	0	0	0	0	0	1	0	0	0
8	0	0	0	0	0	0	0	1	0	0
9	0	0	0	0	0	0	0	0	1	0
10	0	0	0	0	0	0	0	0	0	1
11	0	0	0	1	0	0	0	1	0	0
12	1	0	1	0	0	0	0	0	0	0
13	1	0	1	0	0	0	0	0	1	0
14	0	0	1	0	0	0	0	1	0	0
15	0	1	0	0	0	0	0	0	1	0
16	0	0	1	1	0	0	0	0	0	0
17	0	0	0	0	1	0	0	1	0	0
18	0	0	1	1	1	0	0	0	0	0
19	0	1	0	1	0	0	0	0	0	0
20	1	0	0	0	0	0	1	0	0	0
