49.9
10
1	0.32	0.88
2	0.25	8.62
3	0.22	5.11
4	0.05	4.44
5	0.9	9.62
6	0.99	1.38
7	0.41	5.38
8	0.48	2.41
9	0.21	5.49
10	0.2	3.94
20
1	1	0	0	0	0	0	0	0	0	0
2	0	1	0	0	0	0	0	0	0	0
3	0	0	1	0	0	0	0	0	0	0
4	0	0	0	1	0	0	0	0	0	0
5	0	0	0	0	1	0	0	0	0	0
6	0	0	0	0	0	1	0	0	0	0
7	0	0	0	0	0	0	1	0	0	0
8	0	0	0	0	0	0	0	1	0	0
9	0	0	0	0	0	0	0	0	1	0
10	0	0	0	0	0	0	0	0	0	1
11	0	1	1	1	1	1	1	0	0	1
12	0	1	1	1	1	1	0	0	0	1
13	1	0	1	1	1	1	0	1	0	0
14	1	0	0	0	0	0	1	1	0	1
15	1	1	1	1	1	1	1	1	1	1
16	0	1	1	0	1	0	1	0	1	0
17	1	0	1	1	1	1	0	0	0	0
18	0	0	0	1	1	1	1	1	1	0
19	0	0	0	0	0	0	0	1	1	1
20	0	0	1	1	0	1	0	1	1	1
